filename,department,plo,methods,results_conclusions,improvement_plan,label,plo_score,methods_score,results_score,plan_score
ANTH PhD ROAR AY2023-24 PLO1.docx,Anthropology,Have developed the skills to pursue various professional endeavors within and outside the academy successfully.,"1. Students will be evaluated directly by their dissertation committees on their mock job talk (meant to replicate an academic presentation for a tenure-track position in cultural anthropology). An evaluation rubric will be provided to each faculty member, and they will grade, on a scale of one to five, whether the student showed capacity in articulating research objectives and outcomes in an oral presentation; whether they demonstrated an ability to respond to oral questions with analytic and verbal sophistication and if they created a rich and engaging visual and oral presentation of research. 2. Each third-year student’s undergraduate syllabus will be evaluated by the DGS and their dissertation chair to determine whether they have identified an important topic for instruction within the discipline; if they have created an accessible and rigorous set of readings for an undergraduate syllabus and whether they developed engaging exercises appropriate to the topic and pedagogical level of an undergraduate syllabus.","For (1), committee members answered three complementary questions. (a) “Showed capacity in articulating research objectives and outcomes in an oral presentation.” The cumulative score across four presentations was 4.2 (or 84%). (b) “Demonstrated ability to respond to oral questions with analytic and verbal sophistication.” The cumulative score across four presentations was 4.1 (or 82%). (c) “Developed a rich and engaging visual and oral presentation of research.”  The cumulative score across four presentations was 4.1 (or 82%) All outcomes exceed the threshold of 80% of students who achieve a score of 3.5 (or better). For (2) each of the five undergraduate syllabi individually produced by third-year graduate students in the program was evaluated for the above criteria by their dissertation committees. The cumulative score across all five syllabi reviewed was 4.6  (or 92%), which exceeds the threshold of 80% of students who achieve a score of 3.5 (or better).",For (1) no changes are needed at the present time. In AY 24-25 we will continue to hold mock job talks that the student’s committees will evaluate. For (2) no changes are needed at this time.,1,0,1,1,1
ANTH PhD ROAR AY2023-24 PLO4.docx,Anthropology,Applied research and analytical skills to original research questions and case studies to produce actively innovative approaches to anthropological knowledge and to intervene effectively in extant disciplinary discussions and debates. Apply research and analytical skills to original research questions and case studies to produce innovative approaches to anthropological knowledge and intervene effectively in both disciplinary discussions and wider sociocultural debates.,"Each student will be evaluated directly by the faculty on the dissertation committee, who will base their evaluation on both (a) the quality of the written material (dissertation) and (b) the oral presentation of research materials (dissertation defense). An evaluation rubric will be provided to each dissertation committee member who will grade, on a scale of one to five, whether the student: situated their research problem within existing literatures and discussions relevant to the case study or series of case studies at hand; critically analyzed existing paradigms in the discipline and raised critiques and parallels where appropriate; created and responded to an original research question within the scholarly literature and broader disciplinary debates; and identified a significant problem or question for research within the discipline.","Across the five dissertations and defenses evaluated by faculty committee members, 20% (1 student) achieved an average of 3.2; 20% (1 student) achieved an average of 3.9, 20% (1 student) achieved an average of 4.3, 20% (1 student) achieved an average of 4.8 and 20% (1 student) achieved an average of 5. This results in 80% of students achieving well above the expected threshold of a 3.5 average with 20% failing to achieve that goal.","Our results show that most students completing their dissertation this year excelled in achieving the program’s stated expectations. However, one student’s performance did not fulfill the program’s expectations for pedagogical achievement. It is recommended that, in the future, students who are at risk of not fulfilling the program’s expectations be counseled closely by the chair of their dissertation committee (and other committee members when appropriate) to focus attention on the areas of evaluation to be assessed (per PLO 4 above). The impact of these changes will be assessed in AY 24-25.",1,1,1,1,1
MATH PhD ROAR AY2023-24 PLO2.docx,Mathematics,"Learn fundamental mathematics independently, outside the structure of a regular course.","The mathematics department the advanced oral exams, typically given 6 months to 1 year after our Ph.D. students pass all of their written qualifying exams. The topic of the advanced exam is in a special field, determined by the student and their advisor, who work together to construct a syllabus of material the advisor deems necessary to continue onto research, and a timeline for learning this material.  The syllabus is then approved by the examination committee.  This committee consist of the faculty advisor in the mathematics department (the chair of the committee) and at least one other faculty member in the mathematics department.  The student then submits their syllabus to the Graduate Chair (Chris Leininger). The student is required to learn the material on their own. However, they typically meet with the advisor weekly to get guidance on the material. At the end of the time period, the committee will meet with the student to assess whether the student has demonstrated proficiency in the material. The committee will decide if the material has been learned by asking oral questions. The chair of the committee informs the Graduate Chair of the results. During an earlier  PLO2 assessment, the former Graduate Chair (Shelly Harvey) created a new form that the advisor must fill out after completion of the advanced oral exam to assess whether the students are successfully learning fundamental mathematics independently, outside of a regular course.  The form ask the chair of the committee to comment on the student’s strengths and weaknesses in the following areas: ability of the students to learn the material independently, knowledge of the subject matter, communication skills, ability to solve problems.","During AY 2023-24, there were four students who attempted their advanced exam (their names are withheld for privacy). Student 1. Topic: Algebra and categories. Examiners: Chelsea Walton (chair), Tony Varilliy-Alvarado Student 2.  Topic: Coding theory. Examiners: Tony Varilly-Alvarado (chair), Shelly Harvey, Emily McMillon (outside member) Student 3. Topic: Geometric group theory. Examiners: Chris Leininger (chair), Alan Reid Student 3. Topic: Geometry and topology. Examiners: Alan Reid (chair), Chris Leininger All four students passed, with one meeting the minimum standards and three exceeding the minimum standards.","The examination process seems to serve its purpose of preparing the students to learn the material and be able to perform research on their own.  Some students are being delayed in taking their advanced exam, which seems to be some lingering effect from COVID and pandemic practices.  The Graduate Chair is monitoring the situation and encouraging students and their advisors to keep close tabs on those students who should be taking exams soon.  There are no particular changes planned, but the situation will continue to be monitored.",1,1,1,1,1
HIST BA ROAR AY2020-21 PLO3.docx,"Department of History, BA","Methodologies Exhibit a solid understanding of historical methodologies and research skills, including the careful and creative use of primary and secondary sources that are read critically and weighed carefully as historical evidence.","Thirty seminar papers were collected for assessment, from nine 400-level seminars, excluding the honors seminar. (Faculty were asked to submit 3 or 4 papers, depending upon the size of the seminar). Of these 16 were randomly selected and completely de-identified: all information could identify student’s name, course number & title, instructor’s name, grades or comments was removed. These papers were distributed randomly to the members of the undergraduate committee. Each paper was scored with a rubric that had been created this year to measure the relevant student learning outcome. The scale was 1 (best) – 4 (worst).  The questions for this SLO were: shows ability to find written, oral and/or material primary sources uses primary sources to support historical arguments and draw conclusions understands relationship between primary and secondary sources","The mean scores for these rubrics were 1.59, 1.66, and 1.72, well above the passing score of 2.5. For this SLO, one paper in particular was very weak, with scores of 3-3-4, and three papers had scores that were 2 or 2.5 for all elements of SLO3, indicating a passing performance but not a particularly strong performance.  Most students are doing well in identifying primary source materials, using them appropriately to draw historical conclusions, and to use them in relation to available secondary sources.","This SLO was evaluated in 2016-17 and 2018-19, when a decline in performance was noted. It appears that discussions in the department to pay more attention in our classes to developing the skills of reading primary sources, understanding how to draw conclusions from primary sources, and using primary sources to make interventions in existing historiography, have been largely successful, although there is still room for improvement. T he weakest score was for rubric 3 (relationship between primary and secondary sources), where the mean was 1.72 and where there were two papers that clearly did not achieve a passing score on that element.  The rubric in 2016-17 was different from the rubric used this year. Nonetheless, the results show that we are doing better, but it’s clear we will need to remain vigilant to sustain the improvement. A survey of our syllabi at 200- and 300-level shows significant attention to the use of primary sources in our courses. The Undergraduate Committee will convene a lunchtime discussion in Fall 2021 to share strategies for using primary sources across historical fields in order to maintain and continue to improve the outcomes of our students. The academic skills for different levels of history courses were first articulated in 2017 by the Undergraduate Committee. This coming year, the UG committee will review that document and discuss whether & how to revise it. In addition, we will review syllabi from different levels of instruction to ensure that we are scaffolding the academic skills needed for students to succeed in 400-level seminars (for which there are currently no prerequisites).",1,1,1,1,1
CHBE PhD ROAR AY2023-24 PLO1.docx,"CHBE, PhD","Demonstrate a solid foundation in the fundamentals of chemical engineering in four areas: applied mathematics, kinetics and reaction engineering, thermodynamics and transport phenomena.","These foundational topics are covered primarily in our required core courses: CHBE 501 Fluid mechanics (Fall term) CHBE 590 Advanced reaction engineering (Spring term) CHBE 602 Thermal and mass transport (Spring term) CHBE 611 Thermodynamics (Fall term) CHBE 692 Applied mathematics (Spring term) For 2023-24, we obtained work samples for CHBE 501 and 692. CHBE 501: For assessment, we considered student performance on a comprehensive take-home exam. CHBE 692: For assessment, we considered student performance on a final project that included an oral presentation. Assessment Procedure: The work samples were examined and ranked as follows:","The table below lists the percent of students in each rank. Overall, we believe that this PLO was met.  The results for 501 and 692 are in-line with our expectations for our PhD students.  The two deficient students in 501 did pass the course when other graded work was taken into account.","All instructors of our core courses meet at the end of each term to discuss and assess the performance of our students, in order to more clearly identify students with deficiencies across multiple classes. We have observed a decrease in the level of preparation among our students, particularly in mathematics and fundamentals of physics, e.g., for CHBE 501, 602 and 692. This appears to be coincident with incoming students affected by Covid in their undergraduate degrees. This also appears to be a general problem in the field, based on consultation with programs at peer institutions. This deserves future attention, and we are discussing measures such as increased emphasis on review material, particularly in our Fall courses.",1,1,1,1,1
MATH PhD ROAR AY2023-24 PLO1.docx,Mathematics,"Apply abstract structures from algebra, analysis, and topology to analyze and solve both concrete problems and conceptual questions.","This was assessed using the written qualifying exams that were administered in during the academic year 2023-24 (Aug 23, Jan 24, May 24). A graduate student in the Ph.D. program must perform satisfactorily on all three written exams (in algebra, analysis, and topology) by the May at the end of their fourth semester in order to continue in the program.  All exams are graded pass/fail. The judgment of satisfactory performance on the examination is the responsibility of the department Graduate Committee. The exams are written and evaluated by a committee of faculty in the respective specialty. The exams include problems that are concrete or computational, and questions that are conceptual. The students must apply the abstract structures from algebra, analysis, geometry, and topology that they have learned in their first year courses to solve the problems.  The Graduate Chair (Chris Leininger) worked with the subcommittees to determine which problems tested knowledge of a certain subject (algebra, analysis, and topology) and which problems were of a certain type (concrete or conceptual). The Graduate Chair worked with the subcommittees identified whether the students who passed the exams demonstrated proficiency in both concrete and conceptual problems, and then consensus was reached by the entire Graduate Committee.","All students who matriculated as beginning students in the Fall 2022 semester—that is, those required to pass their examinations by May 2024—passed all three of their examinations and are ready to move on to the next phase of the program.  Of the three students who matriculated in Fall 2023 (and so have until May 2025 to complete their exams), two have passed  two exams, and one has passed one exam.  Those who did not pass were directed to contact the subcommittee members to discuss the results so they know where improvement is needed.  It is expected that all three students will study for their exams over the summer and retake those still required in August. The breakdown of students taking each exam during each period was a follows: Analysis. August: 5 attempted, 1 passed. January: 5 attempted, 3 passed. May 3 attempted, 2 passed. Algebra. August:  1 attempted, 0 passed. January: 2 attempted, 1 passed. May 2 attempted, 1 passed. Topology. August: 1 attempted, 1 passed. January: 2 attempted, 1 passed. May 2 attempted, 1 passed. The Mathematics Department admits students that they expect will succeed and pass their exams.  The 100% success rate for students required to pass by the end of their fourth semester was achieved.","The analysis exam has seen the highest level of failure in the last few years. The Graduate Committee has been working with the analysis subcommittee and more broadly those members of the department whose area of expertise is analysis to address this issue.  The subcommittee has started working to ensure that the problems on the analysis exam more closely align with the kinds of problems that students see during the semester while taking the course.  Going forward, all instructors will work to ensure that students in the courses see problems of the same caliber as those that will appear on the qualifying exams, and to provide some regular feedback from faculty (rather than graders) on these problems. These changes are already being implemented, and we will monitor the results of the exam in the next academic year.",1,1,1,1,1
CHBE PhD ROAR AY2023-24 PLO4.docx,"CHBE, PhD","Conduct independent research by working on research projects, individually and in interdisciplinary groups.","The primary assessment of the ability to conduct original research is based on peer-reviewed publications (including patents) that result from the PhD.  Among these, we consider especially the number of publications as “first-author” (or equivalent, depending on common practice in the sub-field), i.e., those in which the student’s role was primary. Our expectation is that - all students successfully defend the PhD thesis, and that - 90% of students publish their work in two or more peer-reviewed publications","During the one year period from 1 June 2023 and 31 May 2024, 22 students defended their PhD theses. The table gives the anonymized publication output, including patents and articles that are posted achieve servers and are publicly available. This shows 91% of students with two or more publications from their PhD period. Moreover, all students scheduled to defend their theses in this period did so successfully. Thus, our expectations have been met. We also note that the average is for 6.3 papers, 2.4 of which are as first-author.","While the results above show that our students are meeting our publication expectations, as well as improvement in this regard over recent years, we are concerned about the appearance of one student with no papers published or currently under review. In this case, however, one paper has been written and is expected to be submitted soon. We typically discuss this issue at least once per year in faculty meetings. The above data will be shared for the next such discussion at an upcoming meeting.",1,1,1,1,1
ANTH PhD ROAR AY2023-24 PLO2.docx,Anthropology,Obtained comprehensive understanding of the history of the discipline and anthropological theory and practice. Demonstrate a comprehensive understanding of the history of the discipline as well as anthropological theory and practice.,"Each student will be evaluated directly by the faculty on the dissertation committee, who will base their evaluation on both (a) the quality of the written material (dissertation) and (b) the oral presentation of research materials (dissertation defense). An evaluation rubric will be provided to each dissertation committee member who will grade, on a scale of one to five, whether the student: demonstrated familiarity with anthropological debates, theoretical discussions and conceptual themes in the discipline; exhibited the ability to meaningfully contribute to larger anthropological debates by engaging extant literatures, concepts and methods; demonstrated cogent engagement with anthropological concepts, including those developed by the student; and was able to orally communicate the importance of the research to wider bodies of knowledge.","Across the five dissertations and defenses evaluated by faculty committee members, students averaged 3.9/5 for demonstrated familiarity with anthropological debates, theoretical discussions, and conceptual themes in the discipline; 3.9/5 for exhibiting the ability to meaningfully contribute to larger anthropological debates by engaging extant literatures, concepts and methods, 3.9/5 for demonstrating cogent engagement with anthropological concepts, including those developed by the student; and 4/5 for orally communicating the importance of the research to wider bodies of knowledge. Overall, students averaged 3.9/5 for all categories of work. If we analyze the results per student, 1 student (20%) achieved an average of 3, 2 students (40%) achieved an average of 4, 2 students (40%) achieved an average of 5, This results in 80% of students achieving the expected threshold of a 3.5 average with 20% failing to achieve that goal.","Our results show that most students completing their dissertation this year excelled in achieving the program’s state expectations. However, one student’s performance did not fulfill the program’s expectations for pedagogical achievement. It is recommended that in the future, students who are at risk of not fulfilling the program’s expectations be counseled closely by the chair of their dissertation committee (and other committee members when appropriate) to focus attention on the areas of evaluation to be assessed (per PLO 2 above). The impact of these changes will be assessed in AY 24-25.",1,0,1,1,1
ECON_MTEC BA ROAR AY2023-24 PLO3.docx,Economics & MTEC BA,"Learned various statistical and econometric skills, and used statistical software to analyze economic data, interpret and communicate statistical results, both orally and in writing.","We utilize a rubric based on the final examination in ECON 209, Applied Econometrics, which evaluates i) familiarity with introductory econometric concepts, ii) interpretation and statistical inference, and iii) application of causal inference techniques; as well as the data analysis assignments in ECON 209 which require iv) an ability to use statistical software packages.  Each item in the rubric was evaluated on a scale from 0-4, with 4 (0) being the highest (lowest) score indicating mastery of (failure to understand) the subject material. Our goal is that at least 75% of the students make a score of at least 3.0, as measured by the rubric, indicating good or excellent knowledge of the material listed in the PLO.","The proportion of students achieving a score of 3 or 4 exceeded 80% for each rubric item.  Rubric item #2 seems most challenging to students, perhaps because conducting statistical inference builds on retention of content from prerequisite courses in Statistics.  Despite many students having no prior coding experience, they did surprisingly well on rubric item #4; this is likely because we have dedicated Teaching Assistants and example code to help students use the statistical software (R).","We are satisfied that the evaluation met our stated standards, and we do not recommend any changes at this time.",1,1,1,1,1
SMEP BA ROAR AY2023-24 PLO5.docx,"Kinesiology Department/Sports Medicine & Exercise Physiology Program, BA","Analyze sports science and exercise physiology research, including physical activity research, through identification and critical evaluation of relevant scientific literature. (Critical Thinking)","In our KINE 440: Research Methods, students are required to take written examinations over their retention of knowledge regarding research, which includes research design, data collection, literature review, ethical standards of designs and execution of research studies.  These topics are learned in the first portion of the semester, so the students are well versed upon completion of their research projects later in the course.  The multiple-choice exams were directly assessed utilizing a scantron key by the teaching faculty, Dr. Augusto Rodriguez.  In the Fall semester of the 2023-2024 academic year, there were 20 students enrolled in this course.","The students showed learning and retention of knowledge regarding research methods, which includes ethical standards of designs and execution of research studies. The average score for the multiple-choice examinations was 62 out of 65 utilizing the scantron key scale as described above. The average score for the examinations was 85%. Seventeen out of 20 students (85%) (17/20) scored above 85%. The department is satisfied with these results.","While currently no major changes are planned, our evaluation and assessment tools/rubrics are annually reviewed during the subsequent academic year to polish and improve to ensure that these documents fairly and adequately assess the students’ project and this Program Learning Outcome.",1,1,1,1,1
